"parameter, value"
Algorithm,READ_MODE_LOGGING
Kommentar,Rådata loggning utan optimering

Iteration,Tilt(%),Speed,Power,Efficiency
0,1.44,2.14,704.9733914655495,0.0030355755634283075
1,1.44,2.2,763.2106652814704,0.00288255929860289
2,1.44,2.2600000000000002,743.6964298031303,0.0030388743436596333
3,1.44,2.33,852.6151562148798,0.002732768685867441
4,1.44,2.24,1056.632801132879,0.002119941759898389
5,1.44,2.42,1359.8886455887994,0.0017795574717459294
6,1.44,2.62,1665.2284131716006,0.001573357732354529
7,1.44,2.87,2349.4924258646865,0.0012215404350340694
8,1.44,3.0100000000000002,3333.355469164914,0.0009029940034430465
9,1.44,3.34,4266.7310241268515,0.0007828006924067826
10,1.44,3.72,5181.868586537148,0.0007178877537853463
11,1.44,3.96,6280.672033056715,0.0006305057769546874
12,1.44,4.22,6846.535701821309,0.0006163701153091773
13,1.44,4.2700000000000005,6903.440416753332,0.0006185321726884939
14,1.44,4.32,6897.6933965923645,0.0006262963213375343
15,1.44,4.29,7032.241526760307,0.0006100473062074087
16,1.44,4.48,7016.650849618094,0.0006384812492478289
17,1.44,4.59,7034.920258096269,0.0006524594212304699
18,1.44,4.63,7108.242936235952,0.000651356466222824
19,1.44,4.74,7228.067468834071,0.0006557769445896704
20,1.44,4.7,7187.367088809264,0.0006539251358564813
21,1.44,4.66,7139.910190184138,0.0006526692739646098
22,1.44,4.75,7196.174020214828,0.000660072975814195
23,1.44,4.7,7149.862755710709,0.0006573552752807787
24,1.44,4.69,7052.640935057618,0.0006649991178037599
25,1.44,4.69,7049.666894012219,0.000665279660799796
26,1.44,4.65,7145.9420480790295,0.0006507189631141792
27,1.44,4.67,7198.299831243758,0.0006487643067784097
28,1.44,4.66,7199.5145804031445,0.0006472658604907025
29,1.44,4.69,7193.440834606205,0.0006519828421243626
30,1.44,4.67,7195.566645635135,0.0006490107353578393
31,1.6,4.67,7101.708423516486,0.0006575882479961914
32,4.03,4.67,6998.840113667341,0.0006672534197317095
33,7.33,4.73,7045.8006406532,0.0006713218612386814
34,10.69,4.72,7045.8006406532,0.0006699025761197835
35,11.68,4.71,7044.908428339581,0.0006685679520053183
36,11.68,4.71,7044.3136201305015,0.0006686244045892924
37,11.68,4.66,7093.921462525787,0.0006569004216661865
38,11.68,4.66,7089.728483530796,0.0006572889230983986
39,11.68,4.57,7132.068774920778,0.0006407677974264575
40,11.68,4.58,7132.671960710266,0.0006421156090212128
41,12.09,4.58,7131.767182026032,0.0006421970716518662
42,14.93,4.65,7182.811779461559,0.0006473787901969186
43,18.22,4.72,7184.633903200643,0.0006569576214450277
44,19.94,4.73,7192.529772736663,0.0006576267529582011
45,19.94,4.66,7194.655583765592,0.0006477029992255745
46,19.94,4.7700000000000005,7198.299831243758,0.00066265647608844
47,19.94,4.74,7100.510429517918,0.0006675576420950089
48,19.94,4.7700000000000005,7159.212135447794,0.0006662744321238983
49,19.94,4.75,7165.54558623743,0.000662894394130034
50,19.94,4.8100000000000005,7115.185856000385,0.0006760188837433708
51,19.94,4.75,7109.495384507184,0.0006681205547092792
52,19.94,4.67,7112.490369503606,0.0006565913987066569
53,19.94,4.68,7005.92754669384,0.0006680057663754365
54,19.94,4.7,6947.150442540277,0.000676536378314187
55,19.94,4.57,6993.2292291880285,0.0006534892322599605
56,19.94,4.6000000000000005,7041.934387294184,0.000653229602408653
57,19.94,4.55,7084.038012037596,0.0006422890436596167
58,19.94,4.66,7129.957624657565,0.0006535803219761505
59,19.94,4.66,7231.431067368515,0.0006444091019588122
60,19.94,4.59,7279.729912824804,0.0006305178976370718
61,19.94,4.63,7278.190532424545,0.0006361471274176209
62,20.080000000000002,4.57,7320.882682191729,0.000624241665710156
63,22.46,4.6000000000000005,7320.882682191729,0.0006283395322246648
64,23.76,4.46,7263.412480582058,0.0006140364480088835
65,23.76,4.67,7161.553669172267,0.0006520931372898248
66,23.76,4.5600000000000005,7158.516796273798,0.0006370034645128729
67,23.76,4.57,7055.585654571583,0.000647713772284647
68,23.76,4.5600000000000005,7054.687159072656,0.0006463787687786592
69,23.76,4.53,7110.957272288654,0.0006370450315674621
70,23.76,4.61,7206.356969202663,0.0006397129672734026
71,23.76,4.61,7157.909421694105,0.0006440427963544871
72,23.76,4.61,7164.590542070738,0.0006434422138892532
73,23.76,4.62,7210.637912791955,0.0006407200106115353
74,23.76,4.59,7103.417449920038,0.0006461678526371371
75,23.76,4.61,7067.865093056915,0.0006522478767355948
76,23.76,4.73,7078.6470390440345,0.0006682067878099462
77,23.76,4.72,7134.481518078734,0.0006615757554406088
78,23.76,4.74,7097.215946021851,0.0006678675182001299
79,23.76,4.73,6712.777158606966,0.0007046263995126525
80,23.76,4.7700000000000005,5508.2989128010495,0.000865966076916183
81,23.76,4.64,3950.6993695463325,0.0011744755968442168
82,23.76,4.45,2378.4997980328326,0.0018709272137338111
83,23.76,3.97,1175.2069798548698,0.003378128336584819
84,23.76,3.48,527.4859729083407,0.006597331831996804
85,23.76,2.97,308.5358145090536,0.009626111006678123
86,23.76,2.6,287.2044003911789,0.009052786087047208
87,23.76,2.37,344.6452804694147,0.006876635585353168
